Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;Kind;Tax_family;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash;Land;Location_spec;ISO3;State;Date;REF;VIRAL
SRR6823685;11/03/2018 12:36;11/03/2018 12:33;22438819;4532641438;22438819;202;1979;;https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/006663/SRR6823685;SRX3780223;Apis_Mellifera_intermissa;RNA-Seq;RANDOM;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2000;SRP134714;PRJNA437730;;437730;SRS3033803;SAMN08683678;simple;346610;Apis;Apidae;Apis mellifera intermissa;Apis mellifera intermissa;;;;;;;no;;;;;NCARE - NATIONAL CENTER FOR AGRICULTURAL RESEARCH;SRA665565;;public;2B5CB3D9EBAFED3DB045B1A708E5B733;2D3AB05C6FD46301BE16EB518F73395D;Algeria;NA;DZA;NA;2014;https://www.ncbi.nlm.nih.gov/pubmed/25621766;No
SRR1571716;07/09/2015 16:39;09/09/2014 12:56;12353487;3405467559;12353487;275;1993;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571716;SRX697846;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699449;SAMN03031432;simple;7460;Apis;Apidae;Apis mellifera;GSM1500790;;;;;;;no;;;;;GEO;SRA183312;;public;F86E3C22BB24B359FF5E60E061D135CF;EE462656960D0AA542F3F0584B9E7BCB;Australia;Canberra;AUS;Capital territory;2016;https://www.ncbi.nlm.nih.gov/pubmed/26310137;No
SRR1571717;07/09/2015 16:39;09/09/2014 12:51;7797451;2150627727;7797451;275;1245;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571717;SRX697847;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699450;SAMN03031433;simple;7460;Apis;Apidae;Apis mellifera;GSM1500791;;;;;;;no;;;;;GEO;SRA183312;;public;192C3BA7A70706C37A0F0657D4EACFB7;7B8585FE97E3675271501516D029CB0A;Australia;Canberra;AUS;Capital territory;2016;https://www.ncbi.nlm.nih.gov/pubmed/26310137;No
SRR1571719;07/09/2015 16:39;09/09/2014 12:53;7440637;2052412044;7440637;275;1191;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571719;SRX697848;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699451;SAMN03031434;simple;7460;Apis;Apidae;Apis mellifera;GSM1500792;;;;;;;no;;;;;GEO;SRA183312;;public;EF72C45E0B040260BF802E443C1F0DC3;8AE5A5760E8FC84791380FCCF6EB6CC3;Australia;Canberra;AUS;Capital territory;2016;https://www.ncbi.nlm.nih.gov/pubmed/26310137;No
SRR1571720;07/09/2015 16:39;09/09/2014 13:03;30081701;8292891097;30081701;275;4816;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571720;SRX697849;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699452;SAMN03031435;simple;7460;Apis;Apidae;Apis mellifera;GSM1500793;;;;;;;no;;;;;GEO;SRA183312;;public;488474E9C3961A4D2FF119E048C4D6DA;96EBE3FADA09A363B418D1E59833B26E;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571721;07/09/2015 16:39;09/09/2014 12:57;14657321;4040418067;14657321;275;2353;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571721;SRX697850;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699453;SAMN03031436;simple;7460;Apis;Apidae;Apis mellifera;GSM1500794;;;;;;;no;;;;;GEO;SRA183312;;public;1F7CB34BD8240FB1A43CC400ECD3CCF9;518FBDD15A8079D21C18CC366A675665;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571722;07/09/2015 16:39;09/09/2014 12:53;10164930;2802623900;10164930;275;1636;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571722;SRX697851;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699454;SAMN03031437;simple;7460;Apis;Apidae;Apis mellifera;GSM1500795;;;;;;;no;;;;;GEO;SRA183312;;public;FDE3A436746F166ABBC8A9BC9ED7AFE5;DDDB3654953AB0717805C0B15742614C;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571723;07/09/2015 16:39;09/09/2014 12:50;4512205;1244512745;4512205;275;721;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571723;SRX697852;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699455;SAMN03031438;simple;7460;Apis;Apidae;Apis mellifera;GSM1500796;;;;;;;no;;;;;GEO;SRA183312;;public;E6B888E93C5555E909A39D450F009C05;DAA0FA6B67BA26EB8D91E5C1C732710A;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571724;07/09/2015 16:39;09/09/2014 12:54;5616574;1549207518;5616574;275;898;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571724;SRX697853;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699456;SAMN03031439;simple;7460;Apis;Apidae;Apis mellifera;GSM1500797;;;;;;;no;;;;;GEO;SRA183312;;public;1226DAEEF5D4E132C8ECEADAC29E78F3;ECAE69EE4D9D2CE14C896E13ADD589C3;Australia;Canberra;AUS;Capital territory;2016;NA;NA
SRR1571725;07/09/2015 16:39;09/09/2014 12:53;6458764;1780286163;6458764;275;1043;;https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/001534/SRR1571725;SRX697854;;RNA-Seq;cDNA;TRANSCRIPTOMIC;PAIRED;0;0;ILLUMINA;Illumina HiSeq 2500;SRP046740;PRJNA260604;2;260604;SRS699457;SAMN03031440;simple;7460;Apis;Apidae;Apis mellifera;GSM1500798;;;;;;;no;;;;;GEO;SRA183312;;public;977B9EC05F573348AD670DAB369CC0E9;2FD1602D251DA23466C4719E502C4F28;Australia;Canberra;AUS;Capital territory;2016;NA;NA
