Sample	BeeP-01-2013	BeeP-02-2013	BeeP-03-2013	BeeP-04-2013	BeeP-05-2013	BeeP-06-2013	BeeP-07-2013	BeeP-08-2013	BeeP-09-2013	BeeP-10-2013	BeeP-11-2013	BeeP-12-2013	BeeP-13-2013	BeeP-14-2013	BeeP-15-2013	BeeP-16-2013	BeeP-17-2013	BeeP-18-2013	BeeP-19-2013	BeeP-20-2013	BeeP-21-2013	BeeP-22-2013	BeeP-23-2013	BeeP-24-2013	BeeP-25-2013	BeeP-26-2013	BeeP-27-2013	BeeP-28-2013	BeeP-29-2013	BeeP-30-2013	BeeP-31-2013	BeeP-32-2013	BeeP-33-2013	BeeP-34-2013	BeeP-35-2013	BeeP-36-2013	BeeP-37-2013	BeeP-38-2013	BeeP-39-2013	BeeP-40-2013	BeeP-41-2013	BeeP-42-2013	BeeP-43-2013	BeeP-44-2013	BeeP-45-2013	BeeP-46-2013	BeeP-47-2013	BeeP-48-2013	BeeP-49-2013	BeeP-50-2013	BeeP-Q1-2013	BeeP-Q2-2013	BP10	BP11	BP12	BP13	BP14	BP15	BP16	BP17	BP18	BP19	BP1	BP20	BP21	BP22	BP23	BP24	BP25	BP26	BP27	BP28	BP29	BP2	BP30	BP31	BP32	BP33	BP34	BP35	BP36	BP37	BP38	BP39	BP3	BP40	BP41	BP42	BP43	BP44	BP45	BP46	BP47	BP48	BP49	BP4	BP50	BP5	BP6	BP7	BP8	BP9
BP10_NODE_183_length_2151_cov_1_652217	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	56	2	0	0	0	0	0	2	32	10	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
BP10_NODE_253_length_1698_cov_0_733672	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	4	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	0	0	4	0	6	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP10_NODE_316_length_1451_cov_0_490977	0	0	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	74	0	0	0	2	0	0	0	157	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
BP10_NODE_382_length_1274_cov_0_352125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	4	0	0	0	0	2	7	14	0	0	3	0	24	13	0	96	0	88	0	0	0	0	0	26	69	0	1	6	1	281	29	0	0	156	0	0	0	0	4	0	5	0	2	8	0	0	0	6	0	0	0	0	0	0	13	0	2	0	0	0	1	0	7	0	0	0	0	1	0	4	0	0	6	0	2	0	20	9	1	0	0	0	0
BP10_NODE_548_length_1036_cov_0_413115	0	0	0	0	0	2	0	0	0	0	12	0	0	2	6	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	2	0	0	0	0	8	2	2	0	0	0	0	0	0	10	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP10_NODE_575_length_1007_cov_0_694131	0	0	0	0	4	16	0	0	0	0	8	2	0	0	0	2	0	2	0	27	0	0	0	0	23	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	2	0	6	0	3	0	0	0	78	14	1	0	0	2	0	0	2	2	0	0	0	0	12	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	2	0	0	0	0	0
BP10_NODE_609_length_976_cov_0_792982	0	0	0	0	2	12	0	0	0	0	26	5	0	0	0	3	0	13	3	39	0	0	0	0	664	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	19	2	0	30	0	9	0	0	0	104	53	0	0	0	0	0	0	0	41	0	0	0	0	20	4	12	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	78	0	4	7	0	17	0	0	0	0	2
BP10_NODE_695_length_913_cov_0_313131	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	63	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
BP10_NODE_705_length_903_cov_0_225064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP10_NODE_815_length_819_cov_0_133238	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	43	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
