,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
1,849,584,437,865,724,804,525,5079,804,603,2452,1223,1762,804,786,3995,685,1274,849,804,2461,1273,971,1274,1206,1577,867,3402,475,665,603,603,1223,533,557,567,4267,769,563,437,665,2589,437,584,1147,564,3566,747,695,1315,849,563,525,2417,4079,535,626,786,865,700,593,1826,1394,747,763,2010,1389,525,769,446,881,593,747,564,3995,639,849,570,475,621,615,1274,639,865,932,786,621,570,1150,1054,1158,786,684,1147,563,248,463,1826,3372,2461
2,3793,5208,828,1425,966,1354,1497,6280,2108,862,2708,1555,2678,1111,2719,4158,1021,2932,1081,1088,2546,1458,1236,1621,1465,1781,1010,3635,883,1108,4114,1633,1555,4416,3635,1872,4454,1983,952,820,1539,3747,1498,1116,1377,787,5456,842,5362,1492,1307,1568,1111,2840,4235,962,844,1085,1429,1062,1059,2291,1560,985,1180,3085,2079,675,852,1805,1029,931,1041,4373,4259,3776,1053,753,750,1020,1296,1582,1441,1143,3975,1112,1627,1507,1480,1620,1351,1275,1057,1747,929,765,879,2062,3562,2890
3,3993,5469,1004,1593,4277,1992,2165,6620,2666,958,3170,1924,2957,4448,4586,4204,1910,3079,2341,1872,2719,4618,3249,1999,1663,2012,1626,3750,1514,2536,4473,1719,2311,4576,3901,2147,4658,2370,1158,1067,2001,3924,1777,1866,2394,1646,5618,979,5548,1707,1548,1760,1785,2919,5417,1345,1151,1344,1719,1316,2442,2518,1823,4543,1291,3244,2244,972,3777,3260,1426,1201,1301,4810,4487,3837,5507,1059,1274,1324,4144,1825,1649,1458,4464,1368,1857,1855,1702,4054,1718,1874,1755,2390,1174,1358,1258,2516,3662,2981
4,4088,5587,5449,2167,4424,2045,2325,6811,2829,3027,3368,2125,3117,4543,5839,4514,2024,3613,2444,2171,2867,4735,3380,2297,2388,3224,1795,3851,1832,3018,4548,1919,4377,5238,4060,5713,4997,2564,1403,1338,2110,4192,3287,1972,2501,4121,5671,1272,5670,2069,1645,2013,2067,3041,5481,1400,1418,1585,4047,1568,4700,2994,2746,4588,1384,3629,2408,2836,3968,3330,1598,1625,1666,4942,4541,3897,5598,1163,2425,4631,4191,1950,1977,2560,4881,2124,2073,2028,2933,5650,2068,2544,2014,2811,1280,1668,2001,2589,3783,3097
5,4185,5654,5738,2273,4501,2646,2455,6825,2958,4002,4126,2415,3220,4627,5864,4580,2202,4032,2632,2410,3035,4890,3516,3349,3821,4706,1966,6212,3365,3074,4626,2009,4553,5326,4808,5765,5878,2770,1533,1648,2627,4434,3402,2189,2870,4228,5735,1649,5716,2407,2364,2123,4788,3251,6063,1871,1606,1747,4165,1962,4813,3515,2818,4758,1574,3709,2632,3048,4007,3461,1720,3160,1886,5010,4622,4166,5790,1945,2929,4849,5276,4150,2488,2793,4968,2158,2232,3459,3375,5708,2210,3364,2143,2971,4345,2871,2085,3473,4081,4615
6,4682,5719,5840,2435,4559,2710,2614,6878,3158,4037,4266,3182,4862,4683,6039,4792,3578,4365,3150,2611,3168,4970,3865,3616,3895,4777,2601,6486,3506,5235,4672,2167,4663,5629,4872,5829,5928,3050,3135,2171,2764,4519,3615,2425,2941,4329,6502,3495,5774,2605,4922,2598,4858,3375,6117,2000,2128,1856,4289,2603,4898,3845,2923,4960,1758,3778,2711,3410,4103,3567,1939,3301,2071,5174,5119,4233,6049,2435,4647,4911,5375,4193,2603,3351,5037,3587,2446,3715,3439,5743,2288,4988,3546,3549,4665,3235,4737,3845,4230,4706
7,4707,5755,5859,2935,4613,2951,2842,6893,3284,4074,4548,3334,4895,4890,6249,4875,3637,4403,3208,2737,3234,5024,3927,3691,3986,4857,3290,6529,3609,5291,4693,3368,4702,5892,5018,5924,5967,4050,3857,2752,3506,4547,5279,2780,3066,4434,6523,3743,5891,2693,5530,2894,4932,3466,6137,2052,2614,2135,4309,2715,4936,3917,3349,5038,1956,3924,3121,3465,4870,3651,2055,3455,2342,5663,5216,4342,6097,2516,4729,5082,5662,4378,2716,3562,5136,3766,2510,5052,3580,5771,2822,5335,3669,3620,4727,3322,4836,3937,4411,4857
8,4742,5857,5900,3012,4681,3060,2917,6923,3710,4080,4615,3592,4916,6587,6445,4920,3848,4636,3345,2822,3767,5049,4714,3731,4041,5036,3344,6581,3881,5376,4743,3455,4743,6055,5036,6011,6045,6482,3970,2912,4279,4588,5379,2843,5235,4580,6538,3820,6793,2825,5667,3045,4994,4212,6456,2115,3061,2302,4454,2779,4983,4226,3431,5622,2091,3982,3387,3612,5719,3861,2158,3540,2419,5699,5443,5024,6777,2915,4920,5256,5760,4408,2780,3653,5206,4634,2617,6218,5541,5797,2895,5347,3847,4980,4811,3528,4950,4597,4461,4912
9,4928,5975,5961,3101,4723,3126,2947,6929,4599,5962,4809,4431,4981,6754,6468,4976,4033,4720,3549,2908,3870,5230,4835,3789,4132,5070,3430,6658,4426,5540,4877,3683,4828,6100,5071,6038,6106,6528,4045,4004,4308,4649,5390,3312,5320,4879,6578,3986,6878,3010,5721,3794,5575,4961,6550,2394,3151,3546,4505,3438,5030,4940,3535,5905,2994,4087,4320,3696,5899,4129,2749,3804,2501,5868,5517,5056,6815,3130,4988,5297,5916,4464,2813,5375,5276,4700,5903,6260,5572,6076,2954,5447,5705,4993,4847,3582,5079,4766,4618,5315
10,4934,6007,6186,3366,5219,3246,3025,6944,4635,5972,4962,4449,5040,7011,6499,5025,4103,4810,3617,2953,3993,5253,4887,3881,4190,5142,3544,6715,4477,5690,6587,3692,4958,6127,5127,6098,6132,6556,4200,4055,5818,4808,5409,3375,5415,5441,6674,4081,6900,3226,5777,6656,5717,4973,6573,2459,5066,5273,4558,3548,5118,4970,3645,5945,3401,5785,4364,3943,5905,5280,2779,4611,5228,5950,5712,5070,6833,3205,5125,5373,5945,4648,2931,5877,5307,4808,5937,6322,5619,6110,3018,5500,6387,5093,5047,3883,5619,4772,4804,5703
