Contig	
BP10_NODE_183_length_2151_cov_1_652217	2151
BP10_NODE_253_length_1698_cov_0_733672	1698
BP10_NODE_316_length_1451_cov_0_490977	1451
BP10_NODE_382_length_1274_cov_0_352125	1274
BP10_NODE_548_length_1036_cov_0_413115	1036
BP10_NODE_575_length_1007_cov_0_694131	1007
BP10_NODE_609_length_976_cov_0_792982	976
BP10_NODE_695_length_913_cov_0_313131	913
BP10_NODE_705_length_903_cov_0_225064	903
BP10_NODE_815_length_819_cov_0_133238	819
BP10_NODE_964_length_746_cov_0_147200	746
BP10_NODE_1166_length_687_cov_0_349823	687
BP10_NODE_1208_length_678_cov_0_166966	678
BP10_NODE_1701_length_596_cov_0_267368	596
BP10_NODE_2233_length_543_cov_0_462085	543
BP10_NODE_2394_length_533_cov_0_281553	533
BP10_NODE_2427_length_531_cov_0_160976	531
BP11_NODE_2_length_5933_cov_8664_753785	5933
BP11_NODE_41_length_1174_cov_1_003799	1174
BP11_NODE_218_length_562_cov_0_321995	562
BP12_NODE_26_length_3220_cov_1_041949	3220
BP12_NODE_43_length_2354_cov_0_699060	2354
BP12_NODE_61_length_1846_cov_0_577391	1846
BP12_NODE_87_length_1506_cov_0_576895	1506
BP12_NODE_196_length_807_cov_0_492711	807
BP12_NODE_207_length_777_cov_0_606707	777
BP13_NODE_35_length_734_cov_0_216966	734
BP14_NODE_3_length_2120_cov_1_402201	2120
BP14_NODE_29_length_782_cov_0_491679	782
BP14_NODE_39_length_707_cov_0_122867	707
BP15_NODE_14_length_2188_cov_1_108853	2188
BP15_NODE_17_length_2029_cov_1_376310	2029
BP15_NODE_21_length_1989_cov_11_700214	1989
BP15_NODE_29_length_1662_cov_0_990915	1662
BP15_NODE_36_length_1579_cov_0_982853	1579
BP15_NODE_42_length_1550_cov_0_890133	1550
BP15_NODE_49_length_1461_cov_1_601493	1461
BP15_NODE_50_length_1460_cov_1_559373	1460
BP15_NODE_55_length_1417_cov_1_386574	1417
BP15_NODE_62_length_1378_cov_1_307876	1378
BP15_NODE_70_length_1332_cov_1_065235	1332
BP15_NODE_81_length_1278_cov_0_366465	1278
