,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BP10_NODE_1166_length_687_cov_0_349823,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_1208_length_678_cov_0_166966,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_1701_length_596_cov_0_267368,unclassified Tymoviridae,Vira,Tymovirales,Tymoviridae,Unclassified,Bee Macula-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_183_length_2151_cov_1_652217,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_2233_length_543_cov_0_462085,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Cybaeus spider associated circular virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_2394_length_533_cov_0_281553,Faeces associated gemycircularvirus 18,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Equine associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_2427_length_531_cov_0_160976,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_253_length_1698_cov_0_733672,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Densovirus SC2209,Densovirinae,Unclassified,Unclassified,Unclassified
BP10_NODE_316_length_1451_cov_0_490977,all,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP10_NODE_382_length_1274_cov_0_352125,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_548_length_1036_cov_0_413115,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Ambidensovirus CaaDV1,Densovirinae,Unclassified,Unclassified,Unclassified
BP10_NODE_575_length_1007_cov_0_694131,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_609_length_976_cov_0_792982,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_695_length_913_cov_0_313131,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_705_length_903_cov_0_225064,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_815_length_819_cov_0_133238,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Motts Mill virus,Unclassified,Unclassified,Unclassified,Unclassified
BP10_NODE_964_length_746_cov_0_147200,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BP11_NODE_218_length_562_cov_0_321995,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BP11_NODE_2_length_5933_cov_8664_753785,unclassified Sinaivirus,Vira,Unclassified,Unclassified,Sinaivirus,Lake Sinai Virus SA1,Unclassified,Unclassified,Unclassified,Unclassified
BP11_NODE_41_length_1174_cov_1_003799,RNA viruses,Vira,Picornavirales,Dicistroviridae,Cricket paralysis-like viruses,Rhopalosiphum padi virus,Unclassified,Unclassified,Unclassified,Unclassified
BP12_NODE_196_length_807_cov_0_492711,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BP12_NODE_207_length_777_cov_0_606707,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BP12_NODE_26_length_3220_cov_1_041949,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BP12_NODE_43_length_2354_cov_0_699060,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 2,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
